# [l(l+1)/2pi] C_l's for tensor mode (units: [microK]^2)
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  118       4.914167128950e-02       9.586112509230e-05       5.453167114640e-05      -1.725865136874e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  119       4.701819143047e-02       9.537509329870e-05       5.386063977416e-05      -1.680294457534e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  120       4.495824728470e-02       9.485709272729e-05       5.317856670571e-05      -1.634658726158e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  121       4.296118291446e-02       9.430773912004e-05       5.248624618085e-05      -1.589004013037e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  122       4.102660253236e-02       9.372765790726e-05       5.178445964593e-05      -1.543374941424e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  123       3.915394713102e-02       9.311750280144e-05       5.107399123428e-05      -1.497815396110e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  124       3.734247165070e-02       9.247795640918e-05       5.035562681213e-05      -1.452368520476e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  125       3.559164473725e-02       9.180971156507e-05       4.963013452470e-05      -1.407075981691e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  126       3.390077825605e-02       9.111348837923e-05       4.889828124355e-05      -1.361978534358e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  127       3.226901649162e-02       9.039003263252e-05       4.816083302744e-05      -1.317116054076e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  128       3.069571395631e-02       8.964009195443e-05       4.741853912514e-05      -1.272527078030e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  129       2.918008523495e-02       8.886443741086e-05       4.667214531381e-05      -1.228249122653e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  130       2.772119097339e-02       8.806386462819e-05       4.592239294941e-05      -1.184318664514e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  131       2.631828183095e-02       8.723917365966e-05       4.517000201637e-05      -1.140770785961e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  132       2.497047923367e-02       8.639118724101e-05       4.441568528435e-05      -1.097639398416e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  133       2.367676627314e-02       8.552074905390e-05       4.366014929164e-05      -1.054957292766e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  134       2.243631193262e-02       8.462869837045e-05       4.290408260663e-05      -1.012756105604e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  135       2.124817011429e-02       8.371589293389e-05       4.214816529959e-05      -9.710662556522e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
